onet_code,job_title,notes
11-2021.00,Social Media Manager,Manages brand social presence and strategy; closer to Marketing Manager scope than Marketing Specialist
13-1161.00,Content Strategist,Content planning and editorial strategy role mapped to Marketing Specialists
13-1161.00,Content Marketer,Content creation and distribution for marketing pipelines
13-1161.01,SEO Specialist,Search optimization role; 13-1161.01 (Search Marketing Strategists) is closest code
13-1161.01,Paid Media Specialist,PPC/SEM advertising management; mapped to Search Marketing Strategists
13-1161.00,Email Marketing Manager,Email campaign strategy and execution; no dedicated O*NET code
13-1161.00,Brand Strategist,Brand positioning and identity work; no dedicated O*NET code
15-1255.00,Product Designer,End-to-end product design role (research + UI); common title for Web/Digital Interface Designers
27-1024.00,Motion Designer,Animation and motion graphics; lumped into Graphic Designers in O*NET
27-4032.00,Video Editor,Post-production editing; O*NET code exists (27-4032) but role is broader than listed
27-3043.00,Copywriter,Advertising and marketing copy; mapped to Writers and Authors
27-3043.00,Content Writer,General content creation for web/marketing; no dedicated O*NET code
11-2021.00,Growth Marketer,Data-driven acquisition and retention marketing; mapped to Marketing Managers
11-2021.00,Demand Generation Manager,B2B pipeline/lead generation marketing; no dedicated O*NET code
